Lr: 5.000e-06 | Update: 2.183e-01 mean,4.130e-01 std | Epoch: [0][0/2000] | Time 1.960 (1.960) | Data 0.366 (0.366) | Loss 6.3390 (6.3390) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [2 days, 3:40:25]
Lr: 5.500e-05 | Update: 6.791e-03 mean,1.307e-02 std | Epoch: [0][10/2000] | Time 0.168 (0.332) | Data 0.006 (0.038) | Loss 5.2659 (5.4580) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [8:13:24]
Lr: 1.050e-04 | Update: 1.804e-03 mean,3.392e-03 std | Epoch: [0][20/2000] | Time 0.168 (0.254) | Data 0.005 (0.022) | Loss 4.4627 (5.1188) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [6:08:53]
Lr: 1.550e-04 | Update: 1.574e-03 mean,2.860e-03 std | Epoch: [0][30/2000] | Time 0.159 (0.227) | Data 0.005 (0.017) | Loss 4.4053 (4.8253) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [5:24:43]
Lr: 2.050e-04 | Update: 8.380e-04 mean,1.484e-03 std | Epoch: [0][40/2000] | Time 0.170 (0.213) | Data 0.006 (0.014) | Loss 3.5197 (4.5512) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [5:02:22]
Lr: 2.550e-04 | Update: 6.391e-04 mean,1.180e-03 std | Epoch: [0][50/2000] | Time 0.171 (0.204) | Data 0.006 (0.013) | Loss 3.1922 (4.3159) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [4:49:08]
Lr: 3.050e-04 | Update: 5.658e-04 mean,9.731e-04 std | Epoch: [0][60/2000] | Time 0.168 (0.199) | Data 0.006 (0.011) | Loss 3.0171 (4.1249) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [4:39:51]
Lr: 3.550e-04 | Update: 5.707e-04 mean,1.017e-03 std | Epoch: [0][70/2000] | Time 0.172 (0.195) | Data 0.006 (0.011) | Loss 3.0532 (3.9664) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [4:33:16]
Lr: 4.050e-04 | Update: 4.967e-04 mean,8.546e-04 std | Epoch: [0][80/2000] | Time 0.168 (0.191) | Data 0.006 (0.010) | Loss 2.7346 (3.8313) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [4:28:12]
Lr: 4.550e-04 | Update: 6.726e-04 mean,1.117e-03 std | Epoch: [0][90/2000] | Time 0.160 (0.189) | Data 0.006 (0.010) | Loss 2.9468 (3.7130) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [4:24:17]
Lr: 5.050e-04 | Update: 3.097e-04 mean,5.287e-04 std | Epoch: [0][100/2000] | Time 0.169 (0.187) | Data 0.006 (0.009) | Loss 2.5624 (3.6089) | acc 0.000 (0.000) | IoU 0.000 (0.000) | [4:21:30]
